train_step_loss,epoch,step,train_step_acc,val_step_acc,val_step_loss
1.0451264381408691,0,19,0.435739129781723,,
1.0024707317352295,1,39,0.514956533908844,,
,2,49,,0.513671875,1.2197595834732056
1.0237394571304321,2,59,0.535565197467804,,
1.0848878622055054,3,79,0.5465217232704163,,
,4,99,,0.4779411852359772,1.214353084564209
0.9909160137176514,4,99,0.5445217490196228,,
0.9661720395088196,5,119,0.5563478469848633,,
0.9703721404075623,6,139,0.5609565377235413,,
,7,149,,0.521484375,1.1697609424591064
0.9992548823356628,7,159,0.5666086673736572,,
0.9584893584251404,8,179,0.5752173662185669,,
,9,199,,0.5735294222831726,1.139520287513733
0.966648519039154,9,199,0.5680000185966492,,
0.9861394762992859,10,219,0.563565194606781,,
0.9422324299812317,11,239,0.583130419254303,,
,12,249,,0.57421875,1.1489295959472656
0.923226535320282,12,259,0.5802608728408813,,
0.9335139989852905,13,279,0.5735652446746826,,
,14,299,,0.5367646813392639,1.1287569999694824
0.9182857871055603,14,299,0.5930435061454773,,
